listing_url,new_price
https://www.airbnb.com/rooms/7721848,NaN
https://www.airbnb.com/rooms/7843089,142.0
https://www.airbnb.com/rooms/7876168,130.0
https://www.airbnb.com/rooms/7941795,NaN
https://www.airbnb.com/rooms/8020886,91.0
https://www.airbnb.com/rooms/8143736,246.0
https://www.airbnb.com/rooms/8169704,163.0
https://www.airbnb.com/rooms/8208610,247.0
https://www.airbnb.com/rooms/8229074,143.0
https://www.airbnb.com/rooms/8243905,195.0
https://www.airbnb.com/rooms/8299177,180.0
https://www.airbnb.com/rooms/8365825,NaN
https://www.airbnb.com/rooms/8370008,234.0
https://www.airbnb.com/rooms/8469358,195.0
https://www.airbnb.com/rooms/8560103,176.0
https://www.airbnb.com/rooms/8603747,182.0
https://www.airbnb.com/rooms/8649731,87.0
https://www.airbnb.com/rooms/8668760,65.0
https://www.airbnb.com/rooms/8700156,260.0
https://www.airbnb.com/rooms/8757838,254.0
https://www.airbnb.com/rooms/8790699,169.0
https://www.airbnb.com/rooms/8883225,208.0
https://www.airbnb.com/rooms/9094594,156.0
https://www.airbnb.com/rooms/9145394,195.0
https://www.airbnb.com/rooms/9145797,254.0
https://www.airbnb.com/rooms/9170039,228.0
https://www.airbnb.com/rooms/9264938,259.0
https://www.airbnb.com/rooms/9308992,208.0
https://www.airbnb.com/rooms/9379633,195.0
https://www.airbnb.com/rooms/9384204,195.0
https://www.airbnb.com/rooms/9411064,182.0
https://www.airbnb.com/rooms/9439634,126.0
https://www.airbnb.com/rooms/9476054,100.0
https://www.airbnb.com/rooms/9589833,132.0
https://www.airbnb.com/rooms/9633205,182.0
https://www.airbnb.com/rooms/9705518,190.0
https://www.airbnb.com/rooms/9802819,195.0
https://www.airbnb.com/rooms/9816629,107.0
https://www.airbnb.com/rooms/9923070,208.0
https://www.airbnb.com/rooms/9973678,202.0
https://www.airbnb.com/rooms/10009114,195.0
https://www.airbnb.com/rooms/10123472,259.0
https://www.airbnb.com/rooms/10269152,163.0
https://www.airbnb.com/rooms/10742335,241.0
https://www.airbnb.com/rooms/10780104,207.0
https://www.airbnb.com/rooms/10784732,163.0
https://www.airbnb.com/rooms/10816925,260.0
https://www.airbnb.com/rooms/10914507,235.0
https://www.airbnb.com/rooms/10936612,NaN
https://www.airbnb.com/rooms/11018599,286.0
https://www.airbnb.com/rooms/11041223,208.0
https://www.airbnb.com/rooms/11113747,182.0
https://www.airbnb.com/rooms/11214708,195.0
https://www.airbnb.com/rooms/11237063,111.0
https://www.airbnb.com/rooms/11551479,176.0
https://www.airbnb.com/rooms/11628439,180.0
https://www.airbnb.com/rooms/11688473,180.0
https://www.airbnb.com/rooms/11711358,163.0
https://www.airbnb.com/rooms/11717232,234.0
https://www.airbnb.com/rooms/11819197,195.0
https://www.airbnb.com/rooms/11856809,182.0
https://www.airbnb.com/rooms/11890923,169.0
https://www.airbnb.com/rooms/11955746,247.0
https://www.airbnb.com/rooms/11997151,195.0
https://www.airbnb.com/rooms/12025166,207.0
https://www.airbnb.com/rooms/12075572,130.0
https://www.airbnb.com/rooms/12111712,182.0
https://www.airbnb.com/rooms/12120161,143.0
https://www.airbnb.com/rooms/12141992,156.0
https://www.airbnb.com/rooms/12146972,52.0
https://www.airbnb.com/rooms/12163035,156.0
https://www.airbnb.com/rooms/12193157,77.0
https://www.airbnb.com/rooms/12250201,259.0
https://www.airbnb.com/rooms/12286961,130.0
https://www.airbnb.com/rooms/12296366,130.0
https://www.airbnb.com/rooms/12354549,160.0
https://www.airbnb.com/rooms/12416752,247.0
https://www.airbnb.com/rooms/12460143,247.0
https://www.airbnb.com/rooms/12463092,102.0
https://www.airbnb.com/rooms/12524570,150.0
https://www.airbnb.com/rooms/12702282,241.0
https://www.airbnb.com/rooms/12705486,169.0
https://www.airbnb.com/rooms/12772857,195.0
https://www.airbnb.com/rooms/12786625,130.0
https://www.airbnb.com/rooms/12800036,390.0
https://www.airbnb.com/rooms/12827234,104.0
https://www.airbnb.com/rooms/12903959,247.0
https://www.airbnb.com/rooms/12940973,130.0
https://www.airbnb.com/rooms/12994614,208.0
https://www.airbnb.com/rooms/13035508,86.0
https://www.airbnb.com/rooms/13108643,206.0
https://www.airbnb.com/rooms/13135018,245.0
https://www.airbnb.com/rooms/13164117,228.0
https://www.airbnb.com/rooms/13216594,234.0
https://www.airbnb.com/rooms/13264288,195.0
https://www.airbnb.com/rooms/13304557,137.0
https://www.airbnb.com/rooms/13321242,63.0
https://www.airbnb.com/rooms/13525827,143.0
https://www.airbnb.com/rooms/13554539,120.0
https://www.airbnb.com/rooms/13593971,NaN
https://www.airbnb.com/rooms/13598348,104.0
https://www.airbnb.com/rooms/13620282,195.0
https://www.airbnb.com/rooms/13680661,195.0
https://www.airbnb.com/rooms/13703593,233.0
https://www.airbnb.com/rooms/13709397,NaN
https://www.airbnb.com/rooms/13710411,234.0
https://www.airbnb.com/rooms/13722386,299.0
https://www.airbnb.com/rooms/13723451,156.0
https://www.airbnb.com/rooms/13728776,143.0
https://www.airbnb.com/rooms/13747708,182.0
https://www.airbnb.com/rooms/13804551,150.0
https://www.airbnb.com/rooms/13844389,156.0
https://www.airbnb.com/rooms/13888902,156.0
https://www.airbnb.com/rooms/13890005,163.0
https://www.airbnb.com/rooms/13892179,173.0
https://www.airbnb.com/rooms/13906520,357.0
https://www.airbnb.com/rooms/13906524,409.0
https://www.airbnb.com/rooms/13921771,130.0
https://www.airbnb.com/rooms/13974202,195.0
https://www.airbnb.com/rooms/13988493,190.0
https://www.airbnb.com/rooms/14054851,143.0
https://www.airbnb.com/rooms/14080630,95.0
https://www.airbnb.com/rooms/14164496,182.0
https://www.airbnb.com/rooms/14242045,168.0
https://www.airbnb.com/rooms/14245764,117.0
https://www.airbnb.com/rooms/14347792,128.0
https://www.airbnb.com/rooms/14409513,NaN
https://www.airbnb.com/rooms/14499840,143.0
https://www.airbnb.com/rooms/14564322,NaN
https://www.airbnb.com/rooms/14663488,208.0
https://www.airbnb.com/rooms/14665017,296.0
https://www.airbnb.com/rooms/14753672,195.0
https://www.airbnb.com/rooms/14767844,247.0
https://www.airbnb.com/rooms/14772341,129.0
https://www.airbnb.com/rooms/14919508,150.0
https://www.airbnb.com/rooms/14956021,273.0
https://www.airbnb.com/rooms/15110370,150.0
https://www.airbnb.com/rooms/15154723,156.0
https://www.airbnb.com/rooms/15186715,204.0
https://www.airbnb.com/rooms/15200338,195.0
https://www.airbnb.com/rooms/15212953,208.0
https://www.airbnb.com/rooms/15371872,234.0
https://www.airbnb.com/rooms/15415446,195.0
https://www.airbnb.com/rooms/15533762,221.0
https://www.airbnb.com/rooms/15605980,234.0
https://www.airbnb.com/rooms/15627310,208.0
https://www.airbnb.com/rooms/15631489,168.0
https://www.airbnb.com/rooms/15645420,241.0
https://www.airbnb.com/rooms/15739561,234.0
https://www.airbnb.com/rooms/15762196,93.0
https://www.airbnb.com/rooms/15852660,234.0
https://www.airbnb.com/rooms/15909410,169.0
https://www.airbnb.com/rooms/15986013,150.0
https://www.airbnb.com/rooms/16107904,117.0
https://www.airbnb.com/rooms/16131092,NaN
https://www.airbnb.com/rooms/16132660,156.0
https://www.airbnb.com/rooms/16214972,228.0
https://www.airbnb.com/rooms/16253271,234.0
https://www.airbnb.com/rooms/16319606,195.0
https://www.airbnb.com/rooms/16350155,221.0
https://www.airbnb.com/rooms/16375744,195.0
https://www.airbnb.com/rooms/16427328,NaN
https://www.airbnb.com/rooms/16543413,254.0
https://www.airbnb.com/rooms/16793757,163.0
https://www.airbnb.com/rooms/16803072,NaN
https://www.airbnb.com/rooms/16864847,228.0
https://www.airbnb.com/rooms/16896096,130.0
https://www.airbnb.com/rooms/16913106,124.0
https://www.airbnb.com/rooms/16937039,234.0
https://www.airbnb.com/rooms/17121064,130.0
https://www.airbnb.com/rooms/17168307,257.0
https://www.airbnb.com/rooms/17245990,189.0
https://www.airbnb.com/rooms/17429999,234.0
https://www.airbnb.com/rooms/17431697,228.0
https://www.airbnb.com/rooms/17448897,129.0
https://www.airbnb.com/rooms/17461650,124.0
https://www.airbnb.com/rooms/17470540,293.0
https://www.airbnb.com/rooms/17549728,100.0
https://www.airbnb.com/rooms/17630677,208.0
https://www.airbnb.com/rooms/17639454,117.0
https://www.airbnb.com/rooms/17646858,215.0
https://www.airbnb.com/rooms/17742885,104.0
https://www.airbnb.com/rooms/17774144,252.0
https://www.airbnb.com/rooms/17783701,163.0
https://www.airbnb.com/rooms/17802163,520.0
https://www.airbnb.com/rooms/17821938,107.0
https://www.airbnb.com/rooms/17869763,195.0
https://www.airbnb.com/rooms/17884116,182.0
https://www.airbnb.com/rooms/17917009,234.0
https://www.airbnb.com/rooms/18008264,169.0
https://www.airbnb.com/rooms/18085017,248.0
https://www.airbnb.com/rooms/18137144,228.0
https://www.airbnb.com/rooms/18144750,182.0
https://www.airbnb.com/rooms/18240004,156.0
https://www.airbnb.com/rooms/18305511,NaN
https://www.airbnb.com/rooms/18340446,254.0
https://www.airbnb.com/rooms/18341443,195.0
https://www.airbnb.com/rooms/18405803,181.0
https://www.airbnb.com/rooms/18458866,156.0
https://www.airbnb.com/rooms/18567202,NaN
https://www.airbnb.com/rooms/18610807,220.0
https://www.airbnb.com/rooms/18687811,239.0
https://www.airbnb.com/rooms/18729254,184.0
